"X" "analfabeta" "sin_primaria" "sin_drenaje" "sin_electricidad" "sin_agua_entubada" "con_hacinamiento" "con_piso_tierra" "habitantes_5000" "salarios_minimos" "CVE_MUN" "NOM_MUN" "CVE"
"42" "010 Frontera" 2.32 10.71 0.61 0.55 1.01 38.87 0.83 7.65 27.58 10 "Frontera" "05010"
"43" "011 General Cepeda" 8.06 28.54 7.95 1.85 3.03 38.69 1.37 100 61.2 11 "General Cepeda" "05011"
"44" "012 Guerrero" 7.71 29.12 2.88 2.1 6.21 29 1.89 100 38.72 12 "Guerrero" "05012"
"45" "013 Hidalgo" 6.39 23.37 5.21 1.46 0.97 38.23 3.1 100 29.34 13 "Hidalgo" "05013"
"46" "014 Jiménez" 4.51 29.22 6.63 3.62 25.81 32.99 2.46 100 71.87 14 "Jiménez" "05014"
"47" "015 Juárez" 2.62 23.34 1.45 2.33 3.71 34.16 0.76 100 48.53 15 "Juárez" "05015"
"48" "016 Lamadrid" 4.26 19.68 1.04 0.27 0.38 27.72 0.22 100 40.04 16 "Lamadrid" "05016"
"49" "017 Matamoros" 4.67 20.03 2.97 0.45 0.59 38.91 2.33 42.25 34.24 17 "Matamoros" "05017"
"50" "018 Monclova" 1.66 8.61 0.36 0.47 0.67 28.71 0.86 0.43 25.19 18 "Monclova" "05018"
"51" "019 Morelos" 2.78 15.58 1.85 0.21 1.63 34.13 0.52 16.67 32.76 19 "Morelos" "05019"
"52" "020 Múzquiz" 3.46 18.08 1.48 1.07 1.42 35.42 1.46 10.42 39.59 20 "Múzquiz" "05020"
"53" "021 Nadadores" 3.81 15.6 2.04 0.58 2.44 34.31 1.01 100 48.92 21 "Nadadores" "05021"
"54" "022 Nava" 3.09 15.6 1.44 1.1 1.73 36.58 1.82 20.54 30.3 22 "Nava" "05022"
"55" "023 Ocampo" 5.93 24.37 4.31 2.57 15.6 35.56 3.23 100 46.2 23 "Ocampo" "05023"
"56" "024 Parras" 5.2 17.62 6.19 1.11 5.96 34.86 2.77 25.51 59.41 24 "Parras" "05024"
"57" "025 Piedras Negras" 2.15 11.06 0.47 0.33 0.29 34.01 1.32 1.72 29.33 25 "Piedras Negras" "05025"
"58" "026 Progreso" 4.62 26.65 1.04 0.75 2.44 31.24 0.9 100 34.43 26 "Progreso" "05026"
"59" "027 Ramos Arizpe" 3.21 11.82 0.66 0.83 3.89 29.1 0.91 11.8 25.38 27 "Ramos Arizpe" "05027"
"60" "028 Sabinas" 2.36 11.9 0.82 0.42 0.4 29.56 0.83 9.77 26.8 28 "Sabinas" "05028"
"61" "029 Sacramento" 5.23 17.42 0.78 0.95 0.56 27.68 1.08 100 40.7 29 "Sacramento" "05029"
"62" "030 Saltillo" 2.14 9.1 0.42 0.37 0.89 27.18 1.06 2.13 22.17 30 "Saltillo" "05030"
"63" "031 San Buenaventura" 2.37 11.52 0.8 0.31 0.85 28.91 0.58 7.54 35.2 31 "San Buenaventura" "05031"
"64" "032 San Juan de Sabinas" 2.06 12.1 1.21 1.58 1.29 28.37 1.19 8.38 29.65 32 "San Juan de Sabinas" "05032"
"65" "033 San Pedro" 5.8 21.96 3.18 1.01 4.18 38.17 1.8 44.86 57.04 33 "San Pedro" "05033"
"66" "034 Sierra Mojada" 3.46 15.04 2.55 7.05 5.08 38.2 1.92 100 22.05 34 "Sierra Mojada" "05034"
"67" "035 Torreón" 1.78 9.58 0.55 0.13 0.42 24.81 1.86 4.81 25.14 35 "Torreón" "05035"
"68" "036 Viesca" 6.94 28.43 7 1.28 2.75 40.39 2.01 100 53.45 36 "Viesca" "05036"
"69" "037 Villa Unión" 4 18.72 1.33 2.18 1.15 34.86 0.45 14.93 46.58 37 "Villa Unión" "05037"
"70" "038 Zaragoza" 3.8 23.21 1.73 1.68 1.49 31.94 1.11 17.64 48.27 38 "Zaragoza" "05038"
"71" "001 Armería" 10.54 33.57 1.97 1.02 1.97 40.29 8.14 22.9 52.37 1 "Armería" "06001"
"72" "002 Colima" 3.31 13.72 0.37 0.36 0.52 24.43 3.3 6.48 31.97 2 "Colima" "06002"
"73" "003 Comala" 5.34 23.16 1.97 2.02 0.97 38.73 6.46 54.8 43.75 3 "Comala" "06003"
"74" "004 Coquimatlán" 8.2 27.18 0.73 0.84 1.29 38.12 5.63 31.09 44.45 4 "Coquimatlán" "06004"
"75" "005 Cuauhtémoc" 5.31 20.94 0.38 0.49 1.07 29.87 1.96 36.5 34.82 5 "Cuauhtémoc" "06005"
"76" "006 Ixtlahuacán" 11.11 34.84 4.08 2.56 2.9 33.88 6.32 100 61.24 6 "Ixtlahuacán" "06006"
"77" "007 Manzanillo" 4.31 15.58 0.71 0.45 1.43 33.43 4.25 13.09 24.95 7 "Manzanillo" "06007"
"78" "008 Minatitlán" 7.25 25.13 2.33 1.41 2.68 33.72 5.44 100 37.32 8 "Minatitlán" "06008"
"79" "009 Tecomán" 9.98 31.15 0.91 0.9 2.24 41.96 8.96 12.2 41.02 9 "Tecomán" "06009"
"80" "010 Villa de Álvarez" 1.98 9.19 0.08 0.25 0.26 23.65 2.1 1.96 23.25 10 "Villa de Álvarez" "06010"
"81" "001 Acacoyagua" 13.95 41.11 5.79 5.03 15.35 59.29 9.69 55.31 81.17 1 "Acacoyagua" "07001"
"82" "002 Acala" 21.01 41.88 5.75 2.45 4.92 60.22 14.91 52.02 70.23 2 "Acala" "07002"
"83" "003 Acapetahua" 18.1 42.4 9 2.39 54.64 50.01 22.31 77.54 80.34 3 "Acapetahua" "07003"
"84" "004 Altamirano" 31.56 51.68 4.73 8.49 24 60.2 9.34 69.19 84.45 4 "Altamirano" "07004"
"85" "005 Amatán" 27.11 53.67 2.27 14.08 30.07 70.33 14.79 100 90.29 5 "Amatán" "07005"
"86" "006 Amatenango de la Frontera" 21.25 45.24 3.54 3.35 11.96 57.82 20.48 100 86.41 6 "Amatenango de la Frontera" "07006"
"87" "007 Amatenango del Valle" 32.97 60.57 20.11 5.27 31.83 65.78 37.1 100 93.27 7 "Amatenango del Valle" "07007"
"88" "008 Angel Albino Corzo" 20.55 45.26 3.54 3.74 7.35 66.89 15.06 60.84 82.53 8 "Angel Albino Corzo" "07008"
"89" "009 Arriaga" 12.32 32.46 4.51 1.65 28.68 44.34 4.5 38.95 75.23 9 "Arriaga" "07009"
"90" "010 Bejucal de Ocampo" 13.18 47.37 0.92 2.33 54.87 71.17 9.95 100 94.36 10 "Bejucal de Ocampo" "07010"
"91" "011 Bella Vista" 12.23 41.75 3.69 3.15 31.06 56.81 10.58 100 90.75 11 "Bella Vista" "07011"
"92" "012 Berriozábal" 17.29 40.69 7.82 7.93 35.59 57.66 17.89 34.86 61.84 12 "Berriozábal" "07012"
"93" "013 Bochil" 20.26 36.67 1.78 1.54 11.35 63.31 26.35 59.52 77.37 13 "Bochil" "07013"
"94" "014 El Bosque" 29.67 49.09 2.53 2.51 6.55 65.62 19.05 72.22 93.14 14 "El Bosque" "07014"
"95" "015 Cacahoatán" 14.43 32.94 2.02 2.03 7.58 53.19 11.37 62.17 73.26 15 "Cacahoatán" "07015"
"96" "016 Catazajá" 17.21 40.36 7.08 3.48 8.84 51.74 7.26 100 74.56 16 "Catazajá" "07016"
"97" "017 Cintalapa" 14.04 36.53 7.6 3.32 13.5 51.78 14.89 45.63 72.25 17 "Cintalapa" "07017"
"98" "018 Coapilla" 20.5 46.64 8.58 3.68 1.25 55.05 10.95 100 84.49 18 "Coapilla" "07018"
"99" "019 Comitán de Domínguez" 13.54 30.9 1.64 1.22 12.45 42.61 10.99 30.83 62.47 19 "Comitán de Domínguez" "07019"
"100" "020 La Concordia" 23.88 47.67 8.7 5.66 25.67 63.86 12.07 82.67 86.09 20 "La Concordia" "07020"
"101" "021 Copainalá" 15.03 40.55 7.26 3.53 7 58.08 10.58 68.88 73.63 21 "Copainalá" "07021"
"102" "022 Chalchihuitán" 33.82 49.4 12.66 18.45 69.04 76.75 55.8 100 93.41 22 "Chalchihuitán" "07022"
"103" "023 Chamula" 42.5 56.77 9.89 3.2 28.12 65.3 21.65 100 93.73 23 "Chamula" "07023"
"104" "024 Chanal" 34.35 50.27 7.08 2.62 45.55 78.39 17.13 35.21 96.63 24 "Chanal" "07024"
"105" "025 Chapultenango" 19.67 41.24 2.35 7.52 16.29 47.27 37.01 100 84.53 25 "Chapultenango" "07025"
"106" "026 Chenalhó" 34.13 49.63 10.44 4.19 29.81 74.85 31.38 100 91.44 26 "Chenalhó" "07026"
"107" "027 Chiapa de Corzo" 14.34 30.81 2.9 1.16 13.88 53.43 12.74 48.54 60.64 27 "Chiapa de Corzo" "07027"
"108" "028 Chiapilla" 26.41 52.99 2.02 1.7 0.69 62.52 4.47 100 79.27 28 "Chiapilla" "07028"
"109" "029 Chicoasén" 13.44 33.76 4.11 1.12 4.88 59.97 5.07 100 62.57 29 "Chicoasén" "07029"
"110" "030 Chicomuselo" 18.19 51.49 5.47 4.23 29.56 60.13 17.34 81.16 87.83 30 "Chicomuselo" "07030"
"111" "031 Chilón" 33.31 53.58 23.18 14.44 18.61 77.41 30.58 88.86 91.68 31 "Chilón" "07031"
"112" "032 Escuintla" 14.96 40.15 6.84 4.51 20.18 58.08 20.46 68.17 75.33 32 "Escuintla" "07032"
"113" "033 Francisco León" 23.76 54.47 8.27 6.1 13.84 67.05 7 100 92.56 33 "Francisco León" "07033"
"114" "034 Frontera Comalapa" 13.79 39.49 2.48 1.81 12.25 50.67 14.15 72.09 78.73 34 "Frontera Comalapa" "07034"
"115" "035 Frontera Hidalgo" 17.07 34.58 4.6 2.51 35.76 49.44 13.79 100 71.99 35 "Frontera Hidalgo" "07035"
"116" "036 La Grandeza" 11.42 35.01 0.4 3.47 45.48 71.08 10.34 100 86.56 36 "La Grandeza" "07036"
"117" "037 Huehuetán" 16.83 35.71 9.39 3.04 65.31 52.14 26.57 57.93 69.04 37 "Huehuetán" "07037"
"118" "038 Huixtán" 27.27 41.64 2.76 4.36 31.26 66.82 42.01 100 92.5 38 "Huixtán" "07038"
"119" "039 Huitiupán" 27.8 50.81 1.85 7.69 21.7 65.08 17.54 100 91.35 39 "Huitiupán" "07039"
"120" "040 Huixtla" 11.63 30.33 4.66 2.03 35.74 51.21 14.51 37.63 68.01 40 "Huixtla" "07040"
"121" "041 La Independencia" 16.56 46.07 0.86 2.45 9.09 58.56 23.72 74.41 90.59 41 "La Independencia" "07041"
"122" "042 Ixhuatán" 22.22 44.75 1.66 1.55 2.47 62.24 17.22 100 80.65 42 "Ixhuatán" "07042"
"123" "043 Ixtacomitán" 14.29 34.46 3.07 8.48 20.18 54.58 9.05 100 74.1 43 "Ixtacomitán" "07043"
"124" "044 Ixtapa" 18.74 37.89 3.88 2.5 3.41 65.58 21.61 75.18 85.37 44 "Ixtapa" "07044"
"125" "045 Ixtapangajoya" 22.01 49.59 4.84 5.15 29.6 63.07 13.51 100 82.02 45 "Ixtapangajoya" "07045"
"126" "046 Jiquipilas" 13.33 39.11 7.25 2.61 21.95 48.92 13.1 73.84 72.06 46 "Jiquipilas" "07046"
"127" "047 Jitotol" 22.57 44.28 1.78 2.7 4.29 66.15 9.73 100 86.51 47 "Jitotol" "07047"
"128" "048 Juárez" 15.51 38.07 4.04 2.59 37.96 47.18 12.67 65.44 61.49 48 "Juárez" "07048"
"129" "049 Larráinzar" 26.08 43.13 5.79 4.18 24.33 79.65 17.62 100 94.55 49 "Larráinzar" "07049"
"130" "050 La Libertad" 16.2 39.35 4.07 4.09 31.91 45.67 4.49 100 75.82 50 "La Libertad" "07050"
"131" "051 Mapastepec" 16.16 42 3.39 3.24 35.37 48.83 14.53 59.17 71.3 51 "Mapastepec" "07051"
"132" "052 Las Margaritas" 26.06 48.27 1.73 10.75 38.79 59.88 19.28 81.36 82.6 52 "Las Margaritas" "07052"
"133" "053 Mazapa de Madero" 12.28 41.66 2.63 2.58 35.62 63.43 15.28 100 88.79 53 "Mazapa de Madero" "07053"
"134" "054 Mazatán" 15.81 36.57 6.06 1.71 72.95 49.73 24.49 74.27 71.96 54 "Mazatán" "07054"
"135" "055 Metapa" 14.16 31.53 2.25 1.51 32.75 40.64 15.99 100 60.37 55 "Metapa" "07055"
"136" "056 Mitontic" 47.31 66.05 7.47 1.22 46.59 55.52 19.08 100 88.28 56 "Mitontic" "07056"
"137" "057 Motozintla" 12.26 40.11 2.65 1.31 23.44 62.83 17.42 65.63 82.31 57 "Motozintla" "07057"
"138" "058 Nicolás Ruíz" 22 58.61 3.82 4.13 1.07 76.07 7.25 100 81.31 58 "Nicolás Ruíz" "07058"
"139" "059 Ocosingo" 27.88 47.22 9.76 10.77 12.98 68.35 20.9 71.01 85.42 59 "Ocosingo" "07059"
"140" "060 Ocotepec" 38.24 62.33 9.49 4.45 5.37 76.52 20.06 100 84.17 60 "Ocotepec" "07060"
"141" "061 Ocozocoautla de Espinosa" 16.01 40.47 3.85 4.62 17.63 57.74 19.63 52.25 72.85 61 "Ocozocoautla de Espinosa" "07061"
"142" "062 Ostuacán" 18.81 45.01 8.95 10.66 28.76 58.41 12.12 100 77.88 62 "Ostuacán" "07062"
"143" "063 Osumacinta" 10.72 33.03 0.63 0.72 0.87 57.42 3.67 100 64.76 63 "Osumacinta" "07063"
"144" "064 Oxchuc" 21.62 38.77 1.36 14.08 69.3 70.58 29.97 84.6 93.49 64 "Oxchuc" "07064"
"145" "065 Palenque" 19.04 38.74 13.81 4.63 15.64 59.32 20.02 61.28 74.63 65 "Palenque" "07065"
"146" "066 Pantelhó" 43.78 62.74 9.18 9.4 18.67 76.25 33.88 66.55 92.86 66 "Pantelhó" "07066"
"147" "067 Pantepec" 29.16 53.11 3.19 2.71 6.24 69.01 19.04 100 88.35 67 "Pantepec" "07067"
"148" "068 Pichucalco" 16.44 34.83 4.36 2.63 25.68 51.59 6.69 52.33 57.58 68 "Pichucalco" "07068"
"149" "069 Pijijiapan" 15.69 40.61 4.53 2.9 52.52 48.45 11.16 66.22 79.17 69 "Pijijiapan" "07069"
"150" "070 El Porvenir" 13.07 36.32 1.07 1.77 79.24 70.71 8.1 100 94.35 70 "El Porvenir" "07070"
"151" "071 Villa Comaltitlán" 16.78 41.53 8.96 2.89 53.75 57.37 23.27 74.19 80.15 71 "Villa Comaltitlán" "07071"
"152" "072 Pueblo Nuevo Solistahuacán" 31.69 51.28 1.92 3.61 3.42 68.04 16.27 49.69 83.83 72 "Pueblo Nuevo Solistahuacán" "07072"
"153" "073 Rayón" 23.5 43.88 3.37 3.04 16.31 64.35 7.8 34.51 83.28 73 "Rayón" "07073"
"154" "074 Reforma" 9.25 25.75 2.35 1.33 12.47 48.36 7.26 35.5 39.56 74 "Reforma" "07074"
"155" "075 Las Rosas" 28.1 56.02 6.27 3.68 31.03 58.69 19.18 26.29 84.13 75 "Las Rosas" "07075"
"156" "076 Sabanilla" 24.22 48.07 0.67 9.8 25.08 72.2 15.67 100 93.7 76 "Sabanilla" "07076"
"157" "077 Salto de Agua" 28.82 47.48 17.35 6 15.45 71.66 16.98 90.92 89.68 77 "Salto de Agua" "07077"
"158" "078 San Cristóbal de las Casas" 13.18 25.41 1.78 0.87 8.29 41.67 18.61 15 59.82 78 "San Cristóbal de las Casas" "07078"
"159" "079 San Fernando" 15.33 40.91 4.65 1.12 16.79 58.85 4.98 70.81 61.11 79 "San Fernando" "07079"
"160" "080 Siltepec" 19.61 47.05 3.16 4.67 32.81 72.34 7.35 100 89.95 80 "Siltepec" "07080"
"161" "081 Simojovel" 32.48 49.75 1.72 1.83 12.64 74.75 10.33 73.29 86.65 81 "Simojovel" "07081"
"162" "082 Sitalá" 46.49 68.79 55.4 19.36 39.37 77.59 25.8 100 87.45 82 "Sitalá" "07082"
"163" "083 Socoltenango" 23.7 50.22 5.38 2.38 15.82 52.1 8.43 100 84 83 "Socoltenango" "07083"
"164" "084 Solosuchiapa" 16.99 42.88 2.32 2.44 8.35 58.07 6.48 100 77.39 84 "Solosuchiapa" "07084"
"165" "085 Soyaló" 21.28 41.38 1.71 1.2 4.58 57.39 2.67 100 79.03 85 "Soyaló" "07085"
"166" "086 Suchiapa" 15.95 31.94 3.89 1.78 9.04 61.04 7.16 20.95 64.75 86 "Suchiapa" "07086"
"167" "087 Suchiate" 18.62 41.25 4.26 3.44 41.26 51.59 22.34 58.34 74.43 87 "Suchiate" "07087"
"168" "088 Sunuapa" 20.22 41.66 4.39 3.75 39.36 59.96 27.22 100 69.79 88 "Sunuapa" "07088"
"169" "089 Tapachula" 9.28 24.78 2.07 1.53 32.43 42.24 16.08 29.97 55.06 89 "Tapachula" "07089"
"170" "090 Tapalapa" 16.48 49.57 2.43 3.11 3.48 58.26 25.03 100 80.18 90 "Tapalapa" "07090"
"171" "091 Tapilula" 17.89 36.56 1.03 1.19 2.3 56.76 7.6 38.86 74.64 91 "Tapilula" "07091"
"172" "092 Tecpatán" 18.45 45.15 5.22 6.96 12.88 57.34 10.86 83.39 79.47 92 "Tecpatán" "07092"
"173" "093 Tenejapa" 25.24 44.15 3.82 2.29 8.58 73.92 21.41 100 95.75 93 "Tenejapa" "07093"
"174" "094 Teopisca" 30.64 53.65 8.3 3.12 7.03 61.16 18.2 56.82 77.81 94 "Teopisca" "07094"
"175" "096 Tila" 29.24 47.47 1.42 8.23 19.68 70.93 17.13 80.49 91.5 96 "Tila" "07096"
"176" "097 Tonalá" 12.55 33.25 2.87 1.78 46.22 47.52 5.95 51 69.12 97 "Tonalá" "07097"
"177" "098 Totolapa" 29.96 52.43 6.85 4.78 1.32 76.61 6.32 100 88.32 98 "Totolapa" "07098"
"178" "099 La Trinitaria" 18.2 42.94 1.46 2.05 18.33 50.39 16.34 87.57 86.38 99 "La Trinitaria" "07099"
"179" "100 Tumbalá" 34.69 51.54 7.21 9.84 29.28 70.69 22.1 100 92.06 100 "Tumbalá" "07100"
"180" "101 Tuxtla Gutiérrez" 5.47 15.4 0.28 0.37 14.05 35.69 5.42 1.47 36.13 101 "Tuxtla Gutiérrez" "07101"
"181" "102 Tuxtla Chico" 15.63 30.86 4.27 2.47 47.4 46.54 20.43 81.38 64.16 102 "Tuxtla Chico" "07102"
"182" "103 Tuzantán" 15.59 38.67 7.9 2.32 31.74 60.19 17.35 100 80.7 103 "Tuzantán" "07103"
"183" "104 Tzimol" 25.01 49.99 4.35 1.83 12.55 49.01 6.61 63.51 88.88 104 "Tzimol" "07104"
"184" "105 Unión Juárez" 15.08 34.78 1.88 3.01 4.5 51.12 11.72 100 77.87 105 "Unión Juárez" "07105"
"185" "106 Venustiano Carranza" 25.49 48.67 11.49 2.48 7.47 57.73 12 63.1 82.6 106 "Venustiano Carranza" "07106"
"186" "107 Villa Corzo" 20.25 42.51 9.49 4.95 25.42 58.15 16.69 48.09 82.25 107 "Villa Corzo" "07107"
"187" "108 Villaflores" 15.47 36.92 4.07 1.79 20.39 54.73 12.71 55.42 71.9 108 "Villaflores" "07108"
"188" "109 Yajalón" 27.23 46.46 8.53 10.41 13.67 63.88 45.12 51.15 68.98 109 "Yajalón" "07109"
"189" "110 San Lucas" 30.8 53.63 4.72 3.78 0.61 71.75 14.17 100 87.49 110 "San Lucas" "07110"
"190" "111 Zinacantán" 42.38 55.83 10.25 0.88 35.45 64.92 11.75 100 91.34 111 "Zinacantán" "07111"
"191" "112 San Juan Cancuc" 37.45 53.79 6.87 4.56 32.68 80.05 37.7 78.19 96.77 112 "San Juan Cancuc" "07112"
"192" "113 Aldama" 28.11 44.9 7.86 2.86 24.12 81.87 11.03 100 94.86 113 "Aldama" "07113"
"193" "114 Benemérito de las Américas" 21.24 47.63 8.42 3.38 52.43 58.78 10.49 58 78.83 114 "Benemérito de las Américas" "07114"
"194" "115 Maravilla Tenejapa" 26.12 54.13 2.03 8.98 21.6 73.55 19.33 100 95.52 115 "Maravilla Tenejapa" "07115"
"195" "116 Marqués de Comillas" 24.5 52.76 11.16 3.85 48.46 61.11 5.75 100 91.9 116 "Marqués de Comillas" "07116"
"196" "117 Montecristo de Guerrero" 21.01 51.51 4.26 3.45 9.52 71.12 11.32 100 90.85 117 "Montecristo de Guerrero" "07117"
"197" "118 San Andrés Duraznal" 33.87 63.15 0.92 2.35 8.09 74.49 4.28 100 93.13 118 "San Andrés Duraznal" "07118"
"198" "119 Santiago el Pinar" 39.84 50.37 4.29 0.27 19.99 60.52 11.76 100 91.26 119 "Santiago el Pinar" "07119"
"199" "001 Ahumada" 3.73 26.58 1.19 0.44 1.07 34.72 1.79 25.15 39.39 1 "Ahumada" "08001"
"200" "002 Aldama" 3.84 20.5 0.8 1.19 1.09 27.32 2.13 16.41 24.08 2 "Aldama" "08002"
"201" "003 Allende" 4.51 22.83 3.54 1.49 0.8 20.66 2.16 100 51.83 3 "Allende" "08003"
"202" "004 Aquiles Serdán" 3.38 13.26 0.79 0.21 0.12 31.9 0.84 33.24 21.66 4 "Aquiles Serdán" "08004"
"203" "005 Ascensión" 5.56 28.01 2.35 2.17 2.26 35.12 3.06 43.87 48.38 5 "Ascensión" "08005"
"204" "006 Bachíniva" 4.87 37.82 6.35 0.94 5.16 15.19 1.56 100 37.18 6 "Bachíniva" "08006"
"205" "007 Balleza" 27.29 52.88 30.18 33.56 51.71 49.55 21.81 100 66.36 7 "Balleza" "08007"
"206" "008 Batopilas" 38.07 62.22 56.69 66.42 86.25 62.72 25.52 100 84.81 8 "Batopilas" "08008"
"207" "009 Bocoyna" 14.25 35.81 13.42 25.34 24.85 46.51 8.59 45.9 50.65 9 "Bocoyna" "08009"
"208" "010 Buenaventura" 5.26 28.24 3.46 1 0.26 30.45 3.39 43.09 44.56 10 "Buenaventura" "08010"
"209" "011 Camargo" 3.12 16.51 1.7 0.83 1.35 26.95 1.26 17.49 34.99 11 "Camargo" "08011"
"210" "012 Carichí" 39.25 62.14 43.18 42.43 41.4 41.14 13.2 100 69.82 12 "Carichí" "08012"
"211" "013 Casas Grandes" 4.05 26.57 3.01 2.46 2.18 27.92 2.31 50.35 53.11 13 "Casas Grandes" "08013"
"212" "014 Coronado" 5.1 28.73 3.3 2.59 0.84 22.84 0.96 100 64.86 14 "Coronado" "08014"
"213" "015 Coyame del Sotol" 7.74 38.82 3.49 5.85 9.89 20.11 1.81 100 43.76 15 "Coyame del Sotol" "08015"
"214" "016 La Cruz" 3.63 21.42 1.84 0.83 0.6 26.21 1.08 100 43.38 16 "La Cruz" "08016"
